STATION NAME                                      DATE                PRCP                TMAX                TMIN                
HELENA                                            03 30 2018          0.00                38.4                36.6                
HELENA                                            03 31 2018          0.00                39.4                35.7                
CENTRE                                            03 02 2018          0.72                38.6                35.7                
CENTRE                                            03 03 2018          0.00                37.9                35                  
CENTRE                                            03 04 2018          0.00                38.3                35                  
CENTRE                                            03 05 2018          0.00                38.7                35                  
CENTRE                                            03 06 2018          0.15                37.4                36.6                
CENTRE                                            03 07 2018          0.27                38.5                35.7                
CENTRE                                            03 08 2018          0.00                36.8                34.6                
CENTRE                                            03 09 2018          0.00                36.8                34.4                
CENTRE                                            03 10 2018          0.00                38                  34.4                
CENTRE                                            03 11 2018          1.65                38.3                35.7                
CENTRE                                            03 12 2018          0.00                37.4                34.6                
CENTRE                                            03 16 2018          0.00                38.7                34.6                
CENTRE                                            03 17 2018          0.03                38.8                35.5                
CENTRE                                            03 18 2018          0.48                39.5                37                  
CENTRE                                            03 19 2018          0.21                39.2                36.9                
CENTRE                                            03 20 2018          0.88                38.6                37.4                
CENTRE                                            03 21 2018          0.78                37.8                35.5                
CENTRE                                            03 22 2018          0.00                37.1                34.8                
CENTRE                                            03 23 2018          0.00                37.8                34.8                
CENTRE                                            03 24 2018          0.00                38.2                35.4                
CENTRE                                            03 25 2018          0.87                39.4                36.5                
CENTRE                                            03 26 2018          0.00                38                  36.5                
CENTRE                                            03 27 2018          0.00                37.1                36.4                
CENTRE                                            03 31 2018          0.00                38.2                35.8                
ANNISTON METROPOLITAN AIRPORT                     03 01 2018          0.35                39.2                37.4                
ANNISTON METROPOLITAN AIRPORT                     03 02 2018          0.00                38.1                36.2                
ANNISTON METROPOLITAN AIRPORT                     03 03 2018          0.00                38.5                35.5                
ANNISTON METROPOLITAN AIRPORT                     03 04 2018          0.00                38.9                35.4                
ANNISTON METROPOLITAN AIRPORT                     03 05 2018          0.06                38.2                36.2                
ANNISTON METROPOLITAN AIRPORT                     03 06 2018          0.70                38.6                36.1                
ANNISTON METROPOLITAN AIRPORT                     03 07 2018          0.00                37                  35.5                
ANNISTON METROPOLITAN AIRPORT                     03 08 2018          0.00                37.2                34.9                
ANNISTON METROPOLITAN AIRPORT                     03 09 2018          0.00                38.2                34.7                
ANNISTON METROPOLITAN AIRPORT                     03 10 2018          0.33                38.8                35.7                
ANNISTON METROPOLITAN AIRPORT                     03 11 2018          0.97                37.8                37                  
ANNISTON METROPOLITAN AIRPORT                     03 12 2018          0.00                37.4                35.8                
ANNISTON METROPOLITAN AIRPORT                     03 13 2018          0.00                37.7                35.3                
ANNISTON METROPOLITAN AIRPORT                     03 14 2018          0.00                37.2                34.9                
ANNISTON METROPOLITAN AIRPORT                     03 15 2018          0.00                38.7                34.7                
ANNISTON METROPOLITAN AIRPORT                     03 16 2018          0.00                38.8                35.7                
ANNISTON METROPOLITAN AIRPORT                     03 17 2018          0.09                39.5                37.4                
ANNISTON METROPOLITAN AIRPORT                     03 18 2018          0.02                39.6                37.1                
ANNISTON METROPOLITAN AIRPORT                     03 19 2018          1.26                39.3                37.9                
ANNISTON METROPOLITAN AIRPORT                     03 20 2018          0.06                38.1                36.3                
ANNISTON METROPOLITAN AIRPORT                     03 21 2018          0.00                37.4                35.5                
ANNISTON METROPOLITAN AIRPORT                     03 22 2018          0.00                38                  35.1                
ANNISTON METROPOLITAN AIRPORT                     03 23 2018          0.00                38.2                35.4                
ANNISTON METROPOLITAN AIRPORT                     03 24 2018          0.07                39.7                36.5                
ANNISTON METROPOLITAN AIRPORT                     03 25 2018          0.00                39.3                37.1                
ANNISTON METROPOLITAN AIRPORT                     03 26 2018          0.01                37.1                36.5                
ANNISTON METROPOLITAN AIRPORT                     03 27 2018          0.00                38.9                36.5                
ANNISTON METROPOLITAN AIRPORT                     03 28 2018          0.00                40                  37.5                
ANNISTON METROPOLITAN AIRPORT                     03 29 2018          0.66                39.4                37.8                
ANNISTON METROPOLITAN AIRPORT                     03 30 2018          0.00                38.5                36.2                
ANNISTON METROPOLITAN AIRPORT                     03 31 2018          0.00                39.3                35.9                
ALEXANDER CITY                                    03 01 2018          0.00                39.1                37.4                
ALEXANDER CITY                                    03 02 2018          0.11                39.5                36.3                
ALEXANDER CITY                                    03 03 2018          0.00                38.3                35.5                
ALEXANDER CITY                                    03 04 2018          0.00                39.1                35.6                
ALEXANDER CITY                                    03 05 2018          0.00                39                  36.2                
ALEXANDER CITY                                    03 06 2018          0.50                38.5                36.8                
ALEXANDER CITY                                    03 07 2018          0.31                38.4                36                  
ALEXANDER CITY                                    03 08 2018          0.00                37.3                34.9                
ALEXANDER CITY                                    03 09 2018          0.00                37.3                34.7                
ALEXANDER CITY                                    03 10 2018          0.00                38.3                35                  
ALEXANDER CITY                                    03 11 2018          1.70                39                  36.2                
ALEXANDER CITY                                    03 12 2018          0.29                38.1                35.4                
ALEXANDER CITY                                    03 13 2018          0.00                37.5                35.1                
ALEXANDER CITY                                    03 14 2018          0.00                37.8                35.1                
ALEXANDER CITY                                    03 15 2018          0.00                37.4                34.9                
ALEXANDER CITY                                    03 16 2018          0.00                38.9                35                  
ALEXANDER CITY                                    03 17 2018          0.03                38.8                35.7                
ALEXANDER CITY                                    03 18 2018          0.01                39.7                36.9                
ALEXANDER CITY                                    03 19 2018          0.06                39.7                37.6                
ALEXANDER CITY                                    03 20 2018          0.03                39.3                37.1                
ALEXANDER CITY                                    03 21 2018          0.00                38.5                35.5                
ALEXANDER CITY                                    03 22 2018          0.00                37.4                35.2                
ALEXANDER CITY                                    03 23 2018          0.00                38.1                35.1                
ALEXANDER CITY                                    03 24 2018          0.00                38.7                35.7                
ALEXANDER CITY                                    03 25 2018          0.00                39.7                37.2                
ALEXANDER CITY                                    03 26 2018          0.07                39.9                36.6                
ALEXANDER CITY                                    03 27 2018          0.00                37                  36.5                
ALEXANDER CITY                                    03 28 2018          0.00                38.7                36.7                
ALEXANDER CITY                                    03 29 2018          0.00                39.8                37.7                
ALEXANDER CITY                                    03 30 2018          1.64                39.5                37.3                
ALEXANDER CITY                                    03 31 2018          0.00                38.6                35.8                
BIRMINGHAM AIRPORT                                03 01 2018          0.53                39                  37                  
BIRMINGHAM AIRPORT                                03 02 2018          0.00                38.2                36                  
BIRMINGHAM AIRPORT                                03 03 2018          0.00                38.8                35.5                
BIRMINGHAM AIRPORT                                03 04 2018          0.00                39.2                35.8                
BIRMINGHAM AIRPORT                                03 05 2018          0.11                38.6                36.9                
BIRMINGHAM AIRPORT                                03 06 2018          0.85                38.8                37.1                
BIRMINGHAM AIRPORT                                03 07 2018          0.00                37.2                35.6                
BIRMINGHAM AIRPORT                                03 08 2018          0.00                37.3                35.1                
BIRMINGHAM AIRPORT                                03 09 2018          0.00                38.5                35                  
BIRMINGHAM AIRPORT                                03 10 2018          0.58                38.9                37                  
BIRMINGHAM AIRPORT                                03 11 2018          0.56                37.9                36.6                
BIRMINGHAM AIRPORT                                03 12 2018          0.00                37.6                35.7                
BIRMINGHAM AIRPORT                                03 13 2018          0.00                37.8                35                  
BIRMINGHAM AIRPORT                                03 14 2018          0.00                37.5                35.3                
BIRMINGHAM AIRPORT                                03 15 2018          0.00                38.9                35                  
BIRMINGHAM AIRPORT                                03 16 2018          0.00                38.8                36.3                
BIRMINGHAM AIRPORT                                03 17 2018          0.32                39.9                38                  
BIRMINGHAM AIRPORT                                03 18 2018          0.00                39.5                37.4                
BIRMINGHAM AIRPORT                                03 19 2018          0.00                40                  38                  
BIRMINGHAM AIRPORT                                03 20 2018          0.12                38.4                36                  
BIRMINGHAM AIRPORT                                03 21 2018          0.00                37.6                35.6                
BIRMINGHAM AIRPORT                                03 22 2018          0.00                38.2                35.1                
BIRMINGHAM AIRPORT                                03 23 2018          0.00                39                  35.8                
BIRMINGHAM AIRPORT                                03 24 2018          0.01                39.8                37.6                
BIRMINGHAM AIRPORT                                03 25 2018          0.00                40                  37.3                
BIRMINGHAM AIRPORT                                03 26 2018          0.00                37.4                36.9                
BIRMINGHAM AIRPORT                                03 27 2018          0.00                39.1                36.8                
BIRMINGHAM AIRPORT                                03 28 2018          0.00                40.1                37.9                
BIRMINGHAM AIRPORT                                03 29 2018          1.05                39.4                37.8                
BIRMINGHAM AIRPORT                                03 30 2018          0.00                38.5                36.6                
BIRMINGHAM AIRPORT                                03 31 2018          0.00                39.3                36                  
DECATUR 4 SE                                      03 01 2018          1.52                38.8                37.2                
DECATUR 4 SE                                      03 02 2018          0.20                38.8                36.2                
DECATUR 4 SE                                      03 03 2018          0.00                38.8                35.9                
DECATUR 4 SE                                      03 04 2018          0.00                38.1                35.8                
DECATUR 4 SE                                      03 05 2018          0.25                38.5                35.8                
DECATUR 4 SE                                      03 06 2018          0.25                38.6                35.9                
DECATUR 4 SE                                      03 07 2018          0.00                38.7                35.7                
DECATUR 4 SE                                      03 08 2018          0.00                36.3                35.2                
DECATUR 4 SE                                      03 09 2018          0.00                38.3                35                  
DECATUR 4 SE                                      03 10 2018          0.00                38.5                35.2                
DECATUR 4 SE                                      03 11 2018          0.00                38.2                35.5                
DECATUR 4 SE                                      03 12 2018          0.00                38.5                35.7                
DECATUR 4 SE                                      03 13 2018          0.00                38.4                35.9                
DECATUR 4 SE                                      03 14 2018          0.00                38.7                36.1                
DECATUR 4 SE                                      03 15 2018          0.00                38.8                36.3                
DECATUR 4 SE                                      03 16 2018          0.00                38.7                36.4                
DECATUR 4 SE                                      03 17 2018          0.25                39                  37.2                
DECATUR 4 SE                                      03 18 2018          0.00                39.9                36.8                
DECATUR 4 SE                                      03 19 2018          0.10                39.9                36.8                
DECATUR 4 SE                                      03 20 2018          0.40                39.1                37.1                
DECATUR 4 SE                                      03 21 2018          0.00                37.4                35.4                
DECATUR 4 SE                                      03 22 2018          0.00                37.4                35.3                
DECATUR 4 SE                                      03 23 2018          0.00                38.4                36                  
DECATUR 4 SE                                      03 24 2018          0.00                38.7                36.2                
DECATUR 4 SE                                      03 25 2018          0.27                39                  36.1                
DECATUR 4 SE                                      03 26 2018          0.00                39.1                36.3                
DECATUR 4 SE                                      03 27 2018          0.00                39.1                36.5                
DECATUR 4 SE                                      03 28 2018          0.00                39.1                36.6                
DECATUR 4 SE                                      03 29 2018          0.08                39.1                36.1                
DECATUR 4 SE                                      03 30 2018          1.00                38.4                37                  
DECATUR 4 SE                                      03 31 2018          0.00                38.4                35.7                
TROY MUNICIPAL AIRPORT                            03 01 2018          0.08                40.1                37.7                
TROY MUNICIPAL AIRPORT                            03 02 2018          0.00                38.8                36.5                
TROY MUNICIPAL AIRPORT                            03 03 2018          0.00                39.1                35.5                
TROY MUNICIPAL AIRPORT                            03 04 2018          0.00                39.2                35.2                
TROY MUNICIPAL AIRPORT                            03 05 2018          0.00                39.4                36.5                
TROY MUNICIPAL AIRPORT                            03 06 2018          0.80                38.7                36.5                
TROY MUNICIPAL AIRPORT                            03 07 2018          0.00                37.6                35.4                
TROY MUNICIPAL AIRPORT                            03 08 2018          0.00                37.6                34.9                
TROY MUNICIPAL AIRPORT                            03 09 2018          0.00                38.5                34.8                
TROY MUNICIPAL AIRPORT                            03 10 2018          0.00                39.3                35.9                
TROY MUNICIPAL AIRPORT                            03 11 2018          0.43                38.1                37.4                
TROY MUNICIPAL AIRPORT                            03 12 2018          0.00                37.8                35.6                
TROY MUNICIPAL AIRPORT                            03 13 2018          0.00                37.9                34.9                
TROY MUNICIPAL AIRPORT                            03 14 2018          0.00                37.9                35.1                
TROY MUNICIPAL AIRPORT                            03 15 2018          0.00                38.8                34.8                
TROY MUNICIPAL AIRPORT                            03 16 2018          0.00                38.9                35.5                
TROY MUNICIPAL AIRPORT                            03 17 2018          0.00                40.1                37.4                
TROY MUNICIPAL AIRPORT                            03 18 2018          0.21                39.7                38.4                
TROY MUNICIPAL AIRPORT                            03 19 2018          0.01                39.9                38.4                
TROY MUNICIPAL AIRPORT                            03 20 2018          0.00                38.9                36.9                
TROY MUNICIPAL AIRPORT                            03 21 2018          0.00                38.2                36.1                
TROY MUNICIPAL AIRPORT                            03 22 2018          0.00                38.3                35.1                
TROY MUNICIPAL AIRPORT                            03 23 2018          0.00                39.1                35.5                
TROY MUNICIPAL AIRPORT                            03 24 2018          0.00                40                  36.7                
TROY MUNICIPAL AIRPORT                            03 25 2018          0.03                40.2                37.5                
TROY MUNICIPAL AIRPORT                            03 26 2018          0.05                37.6                36.8                
TROY MUNICIPAL AIRPORT                            03 27 2018          0.00                39.1                36.9                
TROY MUNICIPAL AIRPORT                            03 28 2018          0.00                39.9                37.3                
TROY MUNICIPAL AIRPORT                            03 29 2018          1.30                39.8                37.7                
TROY MUNICIPAL AIRPORT                            03 30 2018          0.00                38.9                37                  
TROY MUNICIPAL AIRPORT                            03 31 2018          0.00                39.3                36                  
HANCEVILLE                                        03 01 2018          0.63                39.1                37.3                
HANCEVILLE                                        03 02 2018          0.97                39.1                36.1                
HANCEVILLE                                        03 03 2018          0.00                37.7                35.2                
HANCEVILLE                                        03 04 2018          0.00                38.3                35.1                
HANCEVILLE                                        03 05 2018          0.05                38.7                36.5                
HANCEVILLE                                        03 06 2018          0.36                38                  36.6                
HANCEVILLE                                        03 07 2018          0.03                38.4                35.5                
HANCEVILLE                                        03 08 2018          0.00                36.4                34.7                
HANCEVILLE                                        03 09 2018          0.00                36.9                34.3                
HANCEVILLE                                        03 10 2018          0.00                38.1                34.7                
HANCEVILLE                                        03 11 2018          2.02                38.2                36.3                
HANCEVILLE                                        03 12 2018          0.00                37.7                35.5                
HANCEVILLE                                        03 13 2018          0.00                37.1                34.8                
HANCEVILLE                                        03 14 2018          0.00                37.6                34.8                
HANCEVILLE                                        03 15 2018          0.00                37                  34.4                
HANCEVILLE                                        03 16 2018          0.00                38.6                34.4                
HANCEVILLE                                        03 17 2018          0.00                38.4                35.1                
HANCEVILLE                                        03 18 2018          0.16                39.6                37                  
HANCEVILLE                                        03 19 2018          0.09                39.6                37                  
HANCEVILLE                                        03 20 2018          1.31                39.6                36.6                
HANCEVILLE                                        03 21 2018          0.00                37.3                35.2                
HANCEVILLE                                        03 22 2018          0.00                37.2                34.8                
HANCEVILLE                                        03 23 2018          0.00                37.7                34.8                
HANCEVILLE                                        03 24 2018          0.00                38.4                36.1                
HANCEVILLE                                        03 25 2018          0.00                39.3                36.1                
HANCEVILLE                                        03 26 2018          0.07                39.5                36.8                
HANCEVILLE                                        03 27 2018          0.00                37.3                36.6                
HANCEVILLE                                        03 28 2018          0.00                38.3                36.6                
HANCEVILLE                                        03 29 2018          0.00                39.5                37.5                
HANCEVILLE                                        03 30 2018          0.94                39.5                37                  
HANCEVILLE                                        03 31 2018          0.00                39.5                35.3                
LAFAYETTE 2 W                                     03 01 2018          0.00                39.1                37.2                
LAFAYETTE 2 W                                     03 02 2018          0.30                39.9                36.1                
LAFAYETTE 2 W                                     03 03 2018          0.00                39.9                35                  
LAFAYETTE 2 W                                     03 04 2018          0.00                38.8                35                  
LAFAYETTE 2 W                                     03 05 2018          0.00                38.8                34.9                
LAFAYETTE 2 W                                     03 06 2018          0.18                38.3                36.4                
LAFAYETTE 2 W                                     03 07 2018          0.54                38.6                35.7                
LAFAYETTE 2 W                                     03 08 2018          0.00                37.2                34.6                
LAFAYETTE 2 W                                     03 09 2018          0.00                37.2                34.4                
LAFAYETTE 2 W                                     03 10 2018          0.00                38.3                34.3                
LAFAYETTE 2 W                                     03 11 2018          0.00                39.1                35.7                
LAFAYETTE 2 W                                     03 12 2018          0.31                37.5                35.9                
LAFAYETTE 2 W                                     03 13 2018          0.00                37.5                34.8                
LAFAYETTE 2 W                                     03 14 2018          0.00                37.7                34.7                
LAFAYETTE 2 W                                     03 15 2018          0.00                37.4                34.3                
LAFAYETTE 2 W                                     03 16 2018          0.00                38.7                34.4                
LAFAYETTE 2 W                                     03 17 2018          0.00                38.9                34.8                
LAFAYETTE 2 W                                     03 18 2018          0.00                39.7                35.7                
LAFAYETTE 2 W                                     03 19 2018          0.00                39.4                35.5                
LAFAYETTE 2 W                                     03 20 2018          0.43                39.5                37                  
LAFAYETTE 2 W                                     03 21 2018          0.00                38.7                35.5                
LAFAYETTE 2 W                                     03 22 2018          0.00                37.3                34.8                
LAFAYETTE 2 W                                     03 23 2018          0.00                37.9                34.7                
LAFAYETTE 2 W                                     03 24 2018          0.00                38.6                35                  
LAFAYETTE 2 W                                     03 25 2018          0.00                39.7                35.5                
LAFAYETTE 2 W                                     03 26 2018          0.08                39.3                36.6                
LAFAYETTE 2 W                                     03 27 2018          0.00                36.9                36.4                
LAFAYETTE 2 W                                     03 28 2018          0.00                38.9                36.6                
LAFAYETTE 2 W                                     03 29 2018          0.00                40.1                35.2                
LAFAYETTE 2 W                                     03 30 2018          0.87                39.9                37.3                
LAFAYETTE 2 W                                     03 31 2018          0.03                38.6                36                  
HEFLIN                                            03 01 2018          0.00                38.9                36                  
HEFLIN                                            03 02 2018          0.27                39.2                36.1                
HEFLIN                                            03 03 2018          0.02                39.1                35                  
HEFLIN                                            03 04 2018          0.00                38.4                35                  
HEFLIN                                            03 05 2018          0.00                39                  36                  
HEFLIN                                            03 06 2018          0.40                38.9                35.9                
HEFLIN                                            03 07 2018          0.08                38.4                35.8                
HEFLIN                                            03 08 2018          0.00                38.4                34.8                
HEFLIN                                            03 09 2018          0.00                37                  34.5                
HEFLIN                                            03 10 2018          0.01                38.3                34.5                
HEFLIN                                            03 11 2018          1.32                38.6                35.3                
HEFLIN                                            03 12 2018          0.11                37.7                35.6                
HEFLIN                                            03 13 2018          0.02                37.7                35                  
HEFLIN                                            03 14 2018          0.00                37.5                35                  
HEFLIN                                            03 15 2018          0.00                37.5                34.5                
HEFLIN                                            03 16 2018          0.00                38.8                34.6                
HEFLIN                                            03 17 2018          0.00                38.9                34.6                
HEFLIN                                            03 18 2018          0.00                39.5                37.1                
HEFLIN                                            03 19 2018          0.00                39.8                37.1                
HEFLIN                                            03 20 2018          2.81                39.8                37                  
HEFLIN                                            03 21 2018          0.06                38.2                35.7                
HEFLIN                                            03 22 2018          0.00                36.1                35                  
HEFLIN                                            03 23 2018          0.00                37.7                35                  
HEFLIN                                            03 24 2018          0.00                38.1                34.9                
HEFLIN                                            03 25 2018          0.00                39.6                36.4                
HEFLIN                                            03 26 2018          0.00                38.6                36.4                
HEFLIN                                            03 27 2018          0.00                38.6                36.2                
HEFLIN                                            03 28 2018          0.00                38.6                36.6                
HEFLIN                                            03 29 2018          0.00                39.9                36.7                
HEFLIN                                            03 30 2018          0.00                40                  36.7                
HEFLIN                                            03 31 2018          0.00                39.9                35.6                
TROY 2 W                                          03 01 2018          0.05                39.9                37.6                
TROY 2 W                                          03 02 2018          0.00                38.6                36.5                
TROY 2 W                                          03 03 2018          0.00                39                  36                  
TROY 2 W                                          03 04 2018          0.00                39                  35.8                
TROY 2 W                                          03 05 2018          0.00                39.3                36.6                
TROY 2 W                                          03 06 2018          0.87                38.6                36.8                
TROY 2 W                                          03 07 2018          0.00                37.4                35.5                
TROY 2 W                                          03 08 2018          0.00                37.5                34.9                
TROY 2 W                                          03 09 2018          0.00                38.4                34.9                
TROY 2 W                                          03 10 2018          0.00                39.1                36.1                
TROY 2 W                                          03 11 2018          0.53                38                  37.4                
TROY 2 W                                          03 12 2018          0.00                37.7                35.6                
TROY 2 W                                          03 13 2018          0.00                37.8                35                  
TROY 2 W                                          03 14 2018          0.00                37.7                35.2                
TROY 2 W                                          03 15 2018          0.00                38.7                34.8                
TROY 2 W                                          03 16 2018          0.00                38.8                35.7                
TROY 2 W                                          03 17 2018          0.09                40                  37.6                
TROY 2 W                                          03 18 2018          0.24                39.5                38.4                
TROY 2 W                                          03 19 2018          0.00                39.7                38.4                
TROY 2 W                                          03 20 2018          0.00                38.9                36.8                
TROY 2 W                                          03 21 2018          0.00                37.9                36                  
TROY 2 W                                          03 22 2018          0.00                38.2                35.3                
TROY 2 W                                          03 23 2018          0.00                39                  35.5                
TROY 2 W                                          03 24 2018          0.00                39.8                36.8                
TROY 2 W                                          03 25 2018          0.01                40                  37.4                
TROY 2 W                                          03 26 2018          0.02                37.5                36.8                
TROY 2 W                                          03 27 2018          0.00                39                  36.8                
TROY 2 W                                          03 28 2018          0.00                39.7                37.7                
TROY 2 W                                          03 29 2018          1.02                39.7                37.8                
TROY 2 W                                          03 30 2018          0.00                38.7                37.1                
TROY 2 W                                          03 31 2018          0.00                39.2                36.3                
BREWTON 3 NNE                                     03 01 2018          0.02                40.1                37.7                
BREWTON 3 NNE                                     03 02 2018          0.00                38.9                36.9                
BREWTON 3 NNE                                     03 03 2018          0.00                39.2                35.9                
BREWTON 3 NNE                                     03 04 2018          0.00                39.3                35.4                
BREWTON 3 NNE                                     03 05 2018          0.00                39.5                37.2                
BREWTON 3 NNE                                     03 06 2018          0.22                38.7                36.6                
BREWTON 3 NNE                                     03 07 2018          0.00                37.6                35.6                
BREWTON 3 NNE                                     03 08 2018          0.00                37.8                35.1                
BREWTON 3 NNE                                     03 09 2018          0.00                38.6                34.9                
BREWTON 3 NNE                                     03 10 2018          0.00                39.3                36.2                
BREWTON 3 NNE                                     03 11 2018          0.88                38.4                37.3                
BREWTON 3 NNE                                     03 12 2018          0.00                37.8                35.7                
BREWTON 3 NNE                                     03 13 2018          0.00                38                  35.2                
BREWTON 3 NNE                                     03 14 2018          0.00                38.1                35.1                
BREWTON 3 NNE                                     03 15 2018          0.00                38.9                34.8                
BREWTON 3 NNE                                     03 16 2018          0.03                38.8                35.7                
BREWTON 3 NNE                                     03 17 2018          0.02                40                  38.1                
BREWTON 3 NNE                                     03 18 2018          1.67                39.8                38.4                
BREWTON 3 NNE                                     03 19 2018          0.00                40                  38.5                
BREWTON 3 NNE                                     03 20 2018          0.00                38.9                36.9                
BREWTON 3 NNE                                     03 21 2018          0.00                38.4                35.9                
BREWTON 3 NNE                                     03 22 2018          0.00                38.5                35.5                
BREWTON 3 NNE                                     03 23 2018          0.00                39.2                35.6                
BREWTON 3 NNE                                     03 24 2018          0.00                39.6                36.7                
BREWTON 3 NNE                                     03 25 2018          0.01                40                  38.3                
BREWTON 3 NNE                                     03 26 2018          0.00                38.6                37.4                
BREWTON 3 NNE                                     03 27 2018          0.00                39.4                37.2                
BREWTON 3 NNE                                     03 28 2018          0.00                39.8                37.2                
BREWTON 3 NNE                                     03 29 2018          1.08                39.9                38                  
BREWTON 3 NNE                                     03 30 2018          0.00                38.9                37.1                
BREWTON 3 NNE                                     03 31 2018          0.00                39.5                36.2                
ANDERSON                                          03 01 2018          1.19                38.2                37.8                
ANDERSON                                          03 02 2018          0.00                37.8                35.8                
ANDERSON                                          03 03 2018          0.00                38.7                35.3                
ANDERSON                                          03 04 2018          0.00                38.8                35.3                
ANDERSON                                          03 05 2018          0.10                37.8                36.6                
